,TEAM_NAME,TEAM_ID,GAME_DATE,"(1627780, 1630228)","(1627780, 1627814)","(1627780, 1629185)","(1627780, 1629673)","(1627780, 1630541)","(1627780, 1626172)","(1627780, 202357)","(1627780, 2738)","(1627780, 202691)","(1627780, 1629683)","(1627780, 203952)","(1627780, 203110)","(1627780, 201939)","(1627780, 203490)","(1627780, 1630164)","(1627780, 1629308)","(1630228, 1627814)","(1630228, 1629185)","(1630228, 1629673)","(1630228, 1630541)","(1630228, 1626172)","(1630228, 202357)","(1630228, 2738)","(1630228, 202691)","(1630228, 1629683)","(1630228, 203952)","(1630228, 203110)","(1630228, 201939)","(1630228, 203490)","(1630228, 1630164)","(1630228, 1629308)","(1627814, 1629185)","(1627814, 1629673)","(1627814, 1630541)","(1627814, 1626172)","(1627814, 202357)","(1627814, 2738)","(1627814, 202691)","(1627814, 1629683)","(1627814, 203952)","(1627814, 203110)","(1627814, 201939)","(1627814, 203490)","(1627814, 1630164)","(1627814, 1629308)","(1629185, 1629673)","(1629185, 1630541)","(1629185, 1626172)","(1629185, 202357)","(1629185, 2738)","(1629185, 202691)","(1629185, 1629683)","(1629185, 203952)","(1629185, 203110)","(1629185, 201939)","(1629185, 203490)","(1629185, 1630164)","(1629185, 1629308)","(1629673, 1630541)","(1629673, 1626172)","(1629673, 202357)","(1629673, 2738)","(1629673, 202691)","(1629673, 1629683)","(1629673, 203952)","(1629673, 203110)","(1629673, 201939)","(1629673, 203490)","(1629673, 1630164)","(1629673, 1629308)","(1630541, 1626172)","(1630541, 202357)","(1630541, 2738)","(1630541, 202691)","(1630541, 1629683)","(1630541, 203952)","(1630541, 203110)","(1630541, 201939)","(1630541, 203490)","(1630541, 1630164)","(1630541, 1629308)","(1626172, 202357)","(1626172, 2738)","(1626172, 202691)","(1626172, 1629683)","(1626172, 203952)","(1626172, 203110)","(1626172, 201939)","(1626172, 203490)","(1626172, 1630164)","(1626172, 1629308)","(202357, 2738)","(202357, 202691)","(202357, 1629683)","(202357, 203952)","(202357, 203110)","(202357, 201939)","(202357, 203490)","(202357, 1630164)","(202357, 1629308)","(2738, 202691)","(2738, 1629683)","(2738, 203952)","(2738, 203110)","(2738, 201939)","(2738, 203490)","(2738, 1630164)","(2738, 1629308)","(202691, 1629683)","(202691, 203952)","(202691, 203110)","(202691, 201939)","(202691, 203490)","(202691, 1630164)","(202691, 1629308)","(1629683, 203952)","(1629683, 203110)","(1629683, 201939)","(1629683, 203490)","(1629683, 1630164)","(1629683, 1629308)","(203952, 203110)","(203952, 201939)","(203952, 203490)","(203952, 1630164)","(203952, 1629308)","(203110, 201939)","(203110, 203490)","(203110, 1630164)","(203110, 1629308)","(201939, 203490)","(201939, 1630164)","(201939, 1629308)","(203490, 1630164)","(203490, 1629308)","(1630164, 1629308)"
0,GSW,1610612744,2021-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,18,15,0,0,9,10,15,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,14,0,0,14,11,14,12,0,9,2,0,0,0,0,6,2,2,0,0,0,0,0,0,0,13,6,9,0,0,0,20,0,0,8,7,16,7,0,8,0,0,0,4,12,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,3,14,0,0,3,0,0,9,0,0,0
1,GSW,1610612744,2021-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,9,0,0,5,10,30,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,0,0,18,9,16,10,0,5,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,17,8,17,0,0,0,0,0,0,8,8,23,0,0,0,0,0,0,6,25,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,21,38,0,0,0,33,0,0,0,17,0,2,0,7,0
2,GSW,1610612744,2021-10-24,0,10,0,8,0,0,2,0,0,0,6,7,17,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,9,11,14,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,27,19,18,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,13,2,0,0,0,0,0,0,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,5,0,6,32,4,0,0,14,0,3,0,4,0
3,GSW,1610612744,2021-10-26,0,0,0,3,0,0,5,0,0,0,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,10,2,13,0,0,16,15,16,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,0,0,20,10,11,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,11,0,0,0,0,0,0,0,2,6,2,0,0,0,0,9,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,4,0,9,17,0,0,5,12,0,3,0,6,0
4,GSW,1610612744,2021-10-28,0,0,0,0,0,0,0,0,0,0,4,2,8,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,11,0,0,18,14,23,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,6,0,0,11,6,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12,0,0,0,6,0,0,5,2,5,12,0,0,0,0,4,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,35,2,0,6,26,7,0,2,21,0,9,0,2,0
5,GSW,1610612744,2021-10-30,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,2,12,8,0,0,13,15,10,10,0,0,20,17,16,13,0,0,2,8,3,0,0,5,2,4,11,0,0,0,0,0,0,15,15,20,0,0,0,5,0,0,0,2,6,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,34,5,0,0,31,2,0,0,2,0,0,0,6,0
6,GSW,1610612744,2021-11-03,0,2,0,16,0,0,11,8,0,0,9,14,14,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,8,0,0,3,0,20,10,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,4,0,0,35,33,16,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,6,0,0,0,5,0,0,3,10,6,0,0,0,0,0,0,2,15,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,5,0,0,0,14,0,7,0,0,0
7,GSW,1610612744,2021-11-05,8,6,0,10,11,0,14,5,0,0,9,9,8,8,0,6,2,0,5,7,0,0,0,0,0,0,0,0,0,0,2,0,15,5,0,5,7,0,0,0,2,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,20,13,0,0,22,12,22,9,0,14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,8,2,9,0,0,0,13,0,0,7,5,16,14,0,2,0,0,3,0,3,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,2,0,0,21,4,0,0,8,0,0,0,2,0
8,GSW,1610612744,2021-11-07,0,6,0,7,0,0,19,0,0,0,10,4,20,11,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,11,0,0,0,0,2,11,10,0,4,0,2,0,0,0,0,0,0,0,0,0,0,4,4,11,5,0,0,0,18,15,17,20,0,6,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,7,8,10,9,0,0,0,0,0,4,6,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,9,0,12,17,3,0,0,4,0,7,0,5,0
9,GSW,1610612744,2021-11-08,2,5,0,3,0,2,7,4,0,0,2,4,22,0,0,5,0,0,3,0,0,2,0,0,0,0,0,3,0,0,3,0,6,0,2,0,11,0,0,8,7,17,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,3,4,0,0,23,12,26,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,2,20,0,0,0,4,0,0,5,7,13,0,0,0,0,0,0,4,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,0,0,0,32,0,0,3,0,0,17,0,0,0
