,TEAM_NAME,TEAM_ID,"(1629001, 203937)","(1629001, 1630214)","(1629001, 1630179)","(1629001, 203500)","(1629001, 1630582)","(1629001, 1630583)","(1629001, 1630533)","(1629001, 1629630)","(1629001, 1628991)","(1629001, 1629634)","(1629001, 1626145)","(1629001, 1630217)","(1629001, 1629633)","(1629001, 1628415)","(1629001, 1629681)","(1629001, 1629723)","(203937, 1630214)","(203937, 1630179)","(203937, 203500)","(203937, 1630582)","(203937, 1630583)","(203937, 1630533)","(203937, 1629630)","(203937, 1628991)","(203937, 1629634)","(203937, 1626145)","(203937, 1630217)","(203937, 1629633)","(203937, 1628415)","(203937, 1629681)","(203937, 1629723)","(1630214, 1630179)","(1630214, 203500)","(1630214, 1630582)","(1630214, 1630583)","(1630214, 1630533)","(1630214, 1629630)","(1630214, 1628991)","(1630214, 1629634)","(1630214, 1626145)","(1630214, 1630217)","(1630214, 1629633)","(1630214, 1628415)","(1630214, 1629681)","(1630214, 1629723)","(1630179, 203500)","(1630179, 1630582)","(1630179, 1630583)","(1630179, 1630533)","(1630179, 1629630)","(1630179, 1628991)","(1630179, 1629634)","(1630179, 1626145)","(1630179, 1630217)","(1630179, 1629633)","(1630179, 1628415)","(1630179, 1629681)","(1630179, 1629723)","(203500, 1630582)","(203500, 1630583)","(203500, 1630533)","(203500, 1629630)","(203500, 1628991)","(203500, 1629634)","(203500, 1626145)","(203500, 1630217)","(203500, 1629633)","(203500, 1628415)","(203500, 1629681)","(203500, 1629723)","(1630582, 1630583)","(1630582, 1630533)","(1630582, 1629630)","(1630582, 1628991)","(1630582, 1629634)","(1630582, 1626145)","(1630582, 1630217)","(1630582, 1629633)","(1630582, 1628415)","(1630582, 1629681)","(1630582, 1629723)","(1630583, 1630533)","(1630583, 1629630)","(1630583, 1628991)","(1630583, 1629634)","(1630583, 1626145)","(1630583, 1630217)","(1630583, 1629633)","(1630583, 1628415)","(1630583, 1629681)","(1630583, 1629723)","(1630533, 1629630)","(1630533, 1628991)","(1630533, 1629634)","(1630533, 1626145)","(1630533, 1630217)","(1630533, 1629633)","(1630533, 1628415)","(1630533, 1629681)","(1630533, 1629723)","(1629630, 1628991)","(1629630, 1629634)","(1629630, 1626145)","(1629630, 1630217)","(1629630, 1629633)","(1629630, 1628415)","(1629630, 1629681)","(1629630, 1629723)","(1628991, 1629634)","(1628991, 1626145)","(1628991, 1630217)","(1628991, 1629633)","(1628991, 1628415)","(1628991, 1629681)","(1628991, 1629723)","(1629634, 1626145)","(1629634, 1630217)","(1629634, 1629633)","(1629634, 1628415)","(1629634, 1629681)","(1629634, 1629723)","(1626145, 1630217)","(1626145, 1629633)","(1626145, 1628415)","(1626145, 1629681)","(1626145, 1629723)","(1630217, 1629633)","(1630217, 1628415)","(1630217, 1629681)","(1630217, 1629723)","(1629633, 1628415)","(1629633, 1629681)","(1629633, 1629723)","(1628415, 1629681)","(1628415, 1629723)","(1629681, 1629723)"
0,MEM,1610612763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,30,8,2,0,32,7,0,4,0,0,0,0,0,2,3,0,2,0,0,0,0,12,0,10,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,18,18,8,50,32,0,6,0,6,7,20,7,0,4,0,17,21,19,0,4,0,7,10,0,4,0,23,0,13,0,0,0,0,0,0,0
1,MEM,1610612763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,22,4,14,14,13,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,12,2,4,0,10,0,0,2,0,5,8,12,13,6,2,0,0,0,18,10,8,29,4,0,13,0,15,19,13,7,0,7,0,14,15,2,0,2,0,8,6,0,0,0,2,0,11,0,0,0,0,0,0,0
2,MEM,1610612763,0,0,0,0,0,7,5,9,0,7,7,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,6,9,0,2,0,2,0,30,13,0,0,0,0,20,0,0,20,4,4,0,0,23,2,0,11,16,0,0,24,10,0,22,0,0,10,15,0,0,0,11,19,0,0,0,0,0,0,0,0,9,0,0
3,MEM,1610612763,0,0,0,0,0,4,2,0,10,13,13,15,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,8,12,8,2,6,0,0,15,6,9,15,4,0,3,0,0,0,0,0,0,0,0,0,14,25,26,5,6,14,0,18,18,4,0,7,0,19,2,6,12,0,12,2,22,0,0,3,0,5,0,0
4,MEM,1610612763,0,6,0,0,0,0,0,2,4,14,4,12,0,0,0,6,8,0,0,0,0,21,18,21,0,3,17,0,0,0,16,0,0,0,0,8,10,0,8,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0,3,11,0,0,0,14,19,6,0,17,0,0,0,13,10,7,32,0,0,0,4,10,18,0,0,0,7,15,0,0,0,5,0,0,0,2,0,0,0,0,0,0
5,MEM,1610612763,2,4,0,0,0,0,2,12,0,2,5,0,0,0,0,2,6,0,0,0,0,18,21,5,8,4,13,0,0,0,0,0,0,0,0,4,16,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,8,10,20,0,0,0,8,11,20,16,22,0,0,0,4,6,23,11,0,0,0,9,25,10,0,0,0,4,12,0,0,0,12,0,0,0,3,0,0,0,0,0,0
6,MEM,1610612763,0,8,0,0,0,0,0,10,6,11,5,0,0,0,0,14,4,0,0,0,0,10,10,17,0,4,14,0,0,0,4,0,0,0,0,4,14,0,8,2,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,0,2,12,0,0,0,0,11,12,0,14,0,0,0,15,9,9,21,0,0,0,16,8,12,0,0,0,23,6,0,0,0,10,0,0,0,12,0,0,0,0,0,0
7,MEM,1610612763,0,0,0,4,0,0,0,2,6,0,0,4,0,0,0,0,0,0,14,0,0,9,20,2,0,3,5,0,0,0,10,0,0,0,2,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0,2,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,7,13,0,14,0,0,0,2,8,12,4,19,0,0,0,9,14,6,23,0,0,0,0,0,17,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0
8,MEM,1610612763,3,0,0,5,0,0,0,0,8,19,18,18,0,0,0,3,0,0,4,0,0,2,14,2,6,6,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,6,0,0,6,0,0,0,4,17,13,6,27,0,0,0,20,15,10,27,0,0,0,5,21,18,0,0,0,11,14,0,0,0,4,0,0,0,6,0,0,4,0,0,0
9,MEM,1610612763,0,0,0,3,0,8,7,14,9,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,23,14,6,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,10,2,10,0,0,4,0,0,4,25,25,9,0,0,0,0,0,13,36,28,0,0,12,0,0,21,10,0,0,6,0,0,18,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
10,MEM,1610612763,0,0,0,13,0,0,11,22,8,18,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,36,16,4,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,9,0,0,7,0,0,16,27,18,0,0,15,0,0,23,2,0,0,7,0,0,18,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
11,MEM,1610612763,0,13,0,4,0,5,5,27,15,0,0,0,2,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,4,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,11,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,0,4,2,23,9,0,0,0,0,0,0,4,31,0,0,0,2,0,14,12,0,0,0,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
12,MEM,1610612763,0,0,0,6,0,0,4,26,5,8,0,6,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27,13,0,0,11,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,23,7,0,16,0,0,3,5,25,14,0,24,0,0,22,22,10,0,32,0,0,0,10,0,12,0,0,6,6,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0
13,MEM,1610612763,0,0,0,7,0,0,6,28,8,22,0,5,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,10,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,4,0,18,0,0,0,4,17,22,0,17,0,0,17,2,15,0,31,0,0,0,12,0,10,0,0,15,18,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5
14,MEM,1610612763,15,0,0,15,0,0,0,34,0,8,0,9,0,0,2,14,2,0,6,2,2,0,19,0,2,0,3,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,2,0,16,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,0,30,0,0,5,25,12,0,20,0,0,7,9,0,14,0,0,12,6,0,0,0,0,0,0,0,10,17,0,0,0,0,0,6
15,MEM,1610612763,4,0,0,4,0,0,4,12,2,4,0,2,0,0,0,2,0,0,2,0,0,4,16,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,17,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,13,0,0,26,0,0,0,0,25,4,2,45,0,0,0,2,6,12,39,0,0,0,4,6,7,0,0,0,4,12,0,0,0,4,0,0,0,5,0,0,0,0,0,0
16,MEM,1610612763,18,0,0,9,0,0,24,20,2,7,4,3,0,0,0,2,0,0,4,0,0,16,12,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,20,10,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,20,4,0,18,0,0,0,0,21,2,0,24,0,0,0,0,16,11,32,0,0,0,10,8,7,0,0,0,7,2,0,0,0,7,0,0,0,3,0,0,0,0,0,0
