,TEAM,TEAM_ID,START_DATE,END_DATE,AVERAGE_CLUSTERING,S_METRIC,GLOBAL_EFFICIENCY,LOCAL_EFFICIENCY,CLIQUE_NUMBER,NODE_CONNECTIVITY,STOER_WAGNER,AVERAGE_CORE_NUMBER,DEGREE_ASSORTATIVITY_COEFFICIENT,RANDOMIZED_PARTITIONING,ONE_EXCHANGE,ESTRADA_INDEX,PROMINENT_GROUP_CENTRALITY,AVERAGE_NODE_CONNECTIVITY,AVERAGE_DEGREE_CONNECTIVITY
15,PHI,1610612755,2021-10-20,2021-11-18,0.820436507936508,4082.0,0.8712121212121212,0.8581349206349206,8,1,,6.5,-0.038123558595824746,1600.1733333333334,2090.0,8431.801623077541,,6.954545454545454,9.031465463815621
16,PHI,1610612755,2021-10-22,2021-11-20,0.9310966810966813,4236.0,0.9545454545454546,0.9655483405483406,9,7,,7.818181818181818,-0.1347107549973217,1633.6266666666668,2057.0,9854.756824843847,,8.418181818181818,9.558201103233909
17,PHI,1610612755,2021-10-24,2021-11-22,0.9310966810966813,4236.0,0.9545454545454546,0.9655483405483406,9,7,,7.818181818181818,-0.15430438922257717,1659.8133333333333,1995.0,9854.756824843847,,8.418181818181818,9.592502740076831
18,PHI,1610612755,2021-10-26,2021-11-24,0.9310966810966813,4236.0,0.9545454545454546,0.9655483405483406,9,7,,7.818181818181818,-0.17223341279503576,1613.92,1984.0,9854.756824843847,,8.418181818181818,9.63916946129771
19,PHI,1610612755,2021-10-28,2021-11-27,0.9525252525252526,4705.0,0.9727272727272728,0.9762626262626264,9,8,,8.0,-0.14811777369200935,1606.1066666666666,2064.0,13466.894690442994,,9.018181818181818,9.823060315235066
20,PHI,1610612755,2021-10-30,2021-11-29,0.9525252525252526,4705.0,0.9727272727272728,0.9762626262626264,9,8,,8.0,-0.14408187749945658,1572.36,2038.0,13466.894690442994,,9.018181818181818,9.823914217033357
21,PHI,1610612755,2021-11-01,2021-12-01,0.9525252525252526,4705.0,0.9727272727272728,0.9762626262626264,9,8,,8.0,-0.1427974235480963,1623.4133333333334,1931.0,13466.894690442994,,9.018181818181818,9.830812370093339
22,PHI,1610612755,2021-11-03,2021-12-03,0.9525252525252526,4705.0,0.9727272727272728,0.9762626262626264,9,8,,8.0,-0.13614484879143468,1584.1333333333334,1910.0,13466.894690442994,,9.018181818181818,9.807383851763342
23,PHI,1610612755,2021-11-04,2021-12-06,0.9525252525252526,4705.0,0.9727272727272728,0.9762626262626264,9,8,,8.0,-0.12811355308274627,1576.3066666666666,1880.0,13466.894690442994,,9.018181818181818,9.767112836676924
24,PHI,1610612755,2021-11-06,2021-12-08,0.9525252525252526,4705.0,0.9727272727272728,0.9762626262626264,9,8,,8.0,-0.11739395704005819,1581.8,2032.0,13466.894690442994,,9.018181818181818,9.726431959636011
25,PHI,1610612755,2021-11-08,2021-12-09,0.9414141414141415,4470.0,0.9636363636363636,0.9707070707070706,9,7,,7.909090909090909,-0.1255074966003692,1611.16,1996.0,11567.416389050017,,8.709090909090909,9.692918535277371
26,PHI,1610612755,2021-11-09,2021-12-11,0.9414141414141415,4470.0,0.9636363636363636,0.9707070707070706,9,7,,7.909090909090909,-0.11242505743573133,1625.3333333333333,2035.0,11567.416389050017,,8.709090909090909,9.672802335777746
27,PHI,1610612755,2021-11-11,2021-12-13,0.9310966810966813,4236.0,0.9545454545454546,0.9655483405483405,9,7,,7.818181818181818,-0.10645353709501162,1534.6266666666668,1941.0,9854.75682484394,,8.418181818181818,9.54579512786655
28,PHI,1610612755,2021-11-13,2021-12-15,0.9414141414141415,4470.0,0.9636363636363636,0.9707070707070709,9,7,,7.909090909090909,-0.09925126518434052,1561.4933333333333,1965.0,11567.416389050077,,8.709090909090909,9.649234933837327
29,PHI,1610612755,2021-11-16,2021-12-16,0.9414141414141415,4470.0,0.9636363636363636,0.9707070707070706,9,7,,7.909090909090909,-0.04438770071910605,1593.5333333333333,1989.0,11567.416389050068,,8.709090909090909,9.577005698831929
30,PHI,1610612755,2021-11-18,2021-12-20,0.9313131313131314,4063.0,0.9454545454545454,0.9656565656565658,9,5,,7.7272727272727275,-0.04854391669730957,1593.4666666666667,1969.0,8937.87083094021,,8.145454545454545,9.47627955316454
31,PHI,1610612755,2021-11-20,2021-12-23,0.8351851851851854,4148.0,0.8737373737373737,0.8666666666666667,9,1,,7.166666666666667,-0.06215732139873063,1558.5733333333333,1969.0,9016.873005535472,,6.954545454545454,9.420967607051411
