,Name,Salary
0,Stephen Curry,45780966.0
1,John Wall,44310840.0
2,James Harden,44310840.0
3,Russell Westbrook,44211146.0
4,Kevin Durant,42018900.0
5,LeBron James,41180544.0
6,Paul George,39344970.0
7,Kawhi Leonard,39344900.0
8,Giannis Antetokounmpo,39344900.0
9,Damian Lillard,39344900.0
10,Klay Thompson,37980720.0
11,Jimmy Butler,36016200.0
12,Tobias Harris,35995950.0
13,Khris Middleton,35500000.0
14,Anthony Davis,35361360.0
15,Rudy Gobert,35344828.0
16,Kyrie Irving,35328700.0
17,Kemba Walker,34967442.0
18,Bradley Beal,33724200.0
19,Ben Simmons,33003936.0
20,Pascal Siakam,33003936.0
21,Blake Griffin,32405817.0
22,Karl-Anthony Towns,31650600.0
23,Devin Booker,31650600.0
24,Kristaps Porzingis,31650600.0
25,Andrew Wiggins,31579390.0
26,Joel Embiid,31579390.0
27,Kevin Love,31258256.0
28,Jrue Holiday,31171333.0
29,Nikola Jokic,31044906.0
30,CJ McCollum,30864198.0
31,Chris Paul,30800000.0
32,D'Angelo Russell,30013500.0
33,Gordon Hayward,29925000.0
34,Jamal Murray,29467800.0
35,Brandon Ingram,29467800.0
36,Jayson Tatum,28103500.0
37,Bam Adebayo,28103500.0
38,De'Aaron Fox,28103500.0
39,Donovan Mitchell,28103500.0
40,Al Horford,27000000.0
41,Kyle Lowry,26984128.0
42,Jaylen Brown,26758928.0
43,DeMar DeRozan,26000000.0
44,Draymond Green,24026712.0
45,Nikola Vucevic,24000000.0
46,Buddy Hield,23073234.0
47,John Collins,23000000.0
48,Malcolm Brogdon,21700000.0
49,Tim Hardaway Jr,21306816.0
50,Mike Conley,21000000.0
51,Gary Harris,20932143.0
52,Danilo Gallinari,20475000.0
53,Harrison Barnes,20284091.0
54,Jerami Grant,20002500.0
55,Jarrett Allen,20000000.0
56,Julius Randle,19800000.0
57,Fred VanVleet,19675926.0
58,Zach LaVine,19500000.0
59,Goran Dragic,19348907.0
60,Spencer Dinwiddie,19314284.0
61,Bojan Bogdanovic,18700000.0
62,Lonzo Ball,18604651.0
63,Domantas Sabonis,18500000.0
64,Eric Gordon,18218818.0
65,Eric Bledsoe,18125000.0
66,Bogdan Bogdanovic,18000000.0
67,Myles Turner,18000000.0
68,Terry Rozier,17905263.0
69,Ricky Rubio,17800000.0
70,Clint Capela,17603448.0
71,Caris LeVert,17500000.0
72,Jonathan Isaac,17400000.0
73,Joe Harris,17357143.0
74,Evan Fournier,17142857.0
75,Steven Adams,17073171.0
76,Markelle Fultz,16500000.0
77,Aaron Gordon,16409091.0
78,Gary Trent Jr,16225000.0
79,OG Anunoby,16071429.0
80,Davis Bertans,16000000.0
81,Lauri Markkanen,15690909.0
82,Derrick White,15678571.0
83,Duncan Robinson,15650000.0
84,Marcus Morris,15627907.0
85,Will Barton,15625000.0
86,Norman Powell,15517242.0
87,Dejounte Murray,15428880.0
88,Malik Beasley,14491964.0
89,Patrick Beverley,14320987.0
90,Thaddeus Young,14190000.0
91,Jonas Valanciunas,14000000.0
92,Marcus Smart,13839285.0
93,Doug McDermott,13750000.0
94,Christian Wood,13666667.0
95,Derrick Rose,13445120.0
96,Luke Kennard,13347727.0
97,Taurean Prince,13334375.0
98,Brook Lopez,13302325.0
99,Kentavious Caldwell-Pope,13038862.0
100,Joe Ingles,13036364.0
101,Kyle Kuzma,13000000.0
102,Robert Covington,12975471.0
103,TJ Warren,12940000.0
104,Deandre Ayton,12632950.0
105,Terrence Ross,12500000.0
106,Jordan Clarkson,12420000.0
107,Dillon Brooks,12200000.0
108,Kelly Olynyk,12195122.0
109,Nicolas Batum,12026998.0
110,Kelly Oubre,12000000.0
111,Jusuf Nurkic,12000000.0
112,Josh Hart,12000000.0
113,Josh Richardson,11615328.0
114,Marvin Bagley,11312114.0
115,DeAndre Jordan,11109327.0
116,Dwight Powell,11080125.0
117,Devonte Graham,11000000.0
118,Zion Williamson,10733400.0
119,Larry Nance Jr,10690909.0
120,Jeremy Lamb,10500000.0
121,Reggie Jackson,10384500.0
122,Richaun Holmes,10384500.0
123,Al-Farouq Aminu,10335621.0
124,Anthony Edwards,10245480.0
125,Luka Doncic,10174391.0
126,Cade Cunningham,10050120.0
127,Danny Green,10000000.0
128,Tomas Satoransky,10000000.0
129,Tristan Thompson,9946611.0
130,Kyle Anderson,9937150.0
131,Montrezl Harrell,9720900.0
132,Derrick Jones,9720900.0
133,Serge Ibaka,9720900.0
134,Derrick Favors,9720900.0
135,Jae Crowder,9720900.0
136,Ja Morant,9603360.0
137,Reggie Bullock,9536000.0
138,Alec Burks,9536000.0
139,Talen Horton-Tucker,9500000.0
140,Mason Plumlee,9248333.0
141,Jaren Jackson Jr,9180560.0
142,James Wiseman,9166800.0
143,Jalen Green,8992080.0
144,De'Anthony Melton,8805976.0
145,Nerlens Noel,8800000.0
146,Royce O'Neale,8800000.0
147,Maxi Kleber,8750000.0
148,Jakob Poeltl,8750000.0
